alim_ssgrp_nom_fr;alim_ssssgrp_nom_fr;alim_nom_fr;energie_kj;energie_kcal;protein;carbohydrates;lipid;sugar;salt;price;img_path
charcuteries et assimilés;autres spécialités charcutières;Boudin blanc truffé, à cuire;944;227;11,3;4,8;17,8;1,7;1,48;;
charcuteries et assimilés;autres spécialités charcutières;Museau de boeuf en vinaigrette;694;167;11,3;1;13,1;0,5;1,59;;
charcuteries et assimilés;autres spécialités charcutières;Lardon nature, cru;1120;270;16,6;1,01;22,1;0,78;2,72;;
charcuteries et assimilés;autres spécialités charcutières;Poitrine de porc, fumée, crue;1250;303;15,6;0,79;26,1;0,75;2,41;;
charcuteries et assimilés;autres spécialités charcutières;Bresaola;697;165;31,6;0;4,3;0;3,46;;
charcuteries et assimilés;autres spécialités charcutières;Lardon nature, cuit;1340;324;23,8;2;24,5;-;3,8;;
charcuteries et assimilés;autres spécialités charcutières;Corned-beef, appertisé;787;188;23,1;< 0,1;10,5;< 0,2;1,95;;
charcuteries et assimilés;autres spécialités charcutières;Oreille de porc demi-sel;951;228;22,5;0,6;15,1;-;0,48;;
charcuteries et assimilés;autres spécialités charcutières;Pied de porc demi-sel;569;137;11,6;0,01;10;0;2,37;;
charcuteries et assimilés;autres spécialités charcutières;Poitrine de porc demi-sel;1110;268;16,8;0,75;22;0,6;2;;
charcuteries et assimilés;autres spécialités charcutières;Lardon fumé, cru;1140;275;16,7;0,96;22,6;0,8;2,63;;
charcuteries et assimilés;autres spécialités charcutières;Lardon fumé, cuit;1080;261;14,7;0,8;22,1;0,8;2,59;;
charcuteries et assimilés;autres spécialités charcutières;Viande des Grisons;881;209;38,9;1;5,47;1;3,83;;
charcuteries et assimilés;autres spécialités charcutières;Haché de volaille;575;137;17,7;3,5;5,68;1,4;1,3;;
charcuteries et assimilés;autres spécialités charcutières;Rôti de volaille en salaison, cuit;464;110;22;1,28;1,73;0,97;2;;
charcuteries et assimilés;autres spécialités charcutières;Chorizo;1790;433;23,5;3,05;36,1;2,01;4,24;;
charcuteries et assimilés;autres spécialités charcutières;Chorizo supérieur, doux ou fort, type saucisse sèche;1970;476;20,9;2,6;41,9;2,6;3,91;;
charcuteries et assimilés;autres spécialités charcutières;Chorizo supérieur, doux ou fort, type charcuterie en tranches;1340;322;22,6;2,1;23,9;2,1;4,3;;
charcuteries et assimilés;autres spécialités charcutières;Salami;1870;451;17,7;1,05;41,8;< 0,2;4,05;;
charcuteries et assimilés;autres spécialités charcutières;Salami pur porc;1660;400;22,6;1,6;33,7;-;5,65;;
charcuteries et assimilés;autres spécialités charcutières;Salami porc et boeuf;1460;351;21,5;1,56;28,8;0,61;4,37;;
charcuteries et assimilés;autres spécialités charcutières;Salami type danois;1900;459;17;1,35;42,9;0,56;4,13;;
charcuteries et assimilés;autres spécialités charcutières;Saucisson à l'ail;1160;280;15;1,63;23,6;0,86;2;;
charcuteries et assimilés;autres spécialités charcutières;Saucisson cuit pur porc;1330;322;13,8;1,3;29;-;1,9;;
charcuteries et assimilés;autres spécialités charcutières;Saucisson de Paris;1430;346;12,5;0,6;32,7;0,5;1,73;;
charcuteries et assimilés;autres spécialités charcutières;Saucisson de Paris, fumé;1190;288;13,7;0,6;25,6;-;-;;
charcuteries et assimilés;autres spécialités charcutières;Saucisson brioché, cuit;1290;309;14,7;22,6;17,4;3,8;1,38;;
charcuteries et assimilés;autres spécialités charcutières;Cervelas;1150;278;11,9;1,56;24,8;0,63;1,95;;
charcuteries et assimilés;autres spécialités charcutières;Cervelas obernois;1260;305;13;1;27,5;0,6;2;;
charcuteries et assimilés;autres spécialités charcutières;Cervelas à l'ail, pur porc;1230;297;12,5;0,2;27,4;-;-;;
charcuteries et assimilés;autres spécialités charcutières;Mortadelle;1260;305;15;1,4;26,7;0;2,13;;
charcuteries et assimilés;autres spécialités charcutières;Mortadelle, pur porc;1230;298;14,8;1,55;25,8;1;2,14;;
charcuteries et assimilés;autres spécialités charcutières;Mortadelle, porc et boeuf;1230;297;16,4;0,7;25,4;0;3,12;;
charcuteries et assimilés;autres spécialités charcutières;Mortadelle pistachée pur porc;1330;320;14,4;1,16;28,2;0,48;2,08;;
charcuteries et assimilés;autres spécialités charcutières;Saucisson de cheval type cervelas;-;-;14,2;-;20;1,4;2,46;;
charcuteries et assimilés;substituts de charcuteries pour végétariens;Spécialité végétale type jambon cuit, préemballée;1010;242;29,7;4,13;11,1;0,93;1,62;;
charcuteries et assimilés;substituts de charcuteries pour végétariens;Spécialité végétale type pâté, préemballée;816;197;3,56;9,45;15,4;1,49;1,27;;
charcuteries et assimilés;substituts de charcuteries pour végétariens;Saucisse végétale au tofu (convient aux véganes ou végétaliens), préemballée;963;231;14,6;5,69;16,3;0,5;1,68;;
charcuteries et assimilés;substituts de charcuteries pour végétariens;Quenelle au tofu (ne convient pas aux véganes ou végétaliens), préemballée;570;136;12,1;4,97;7,2;0,97;1,01;;
charcuteries et assimilés;substituts de charcuteries pour végétariens;Saucisse végétale au blé ou seitan, préemballé;1050;250;29,1;7,53;10,5;1,74;1,82;;
autres produits à base de viande;-;Haché à base de boeuf ou Préparation de viande hachée de boeuf, 15% MG, cru, prémeballé;-;-;15,8;2,48;13,6;0,57;0,87;;
autres produits à base de viande;-;Cordon bleu de volaille, préemballé;944;226;14;14,6;12,2;2,2;1,73;;
autres produits à base de viande;-;Boeuf, boulettes cuites;906;217;18,5;5,65;13,3;2;1,13;;
autres produits à base de viande;-;Veau, escalope panée, cuite;1130;271;22,9;12,6;14,1;0,49;0,98;;
autres produits à base de viande;-;Boulettes au porc et au boeuf (à la suédoise), préemballées, crues;1080;260;14,4;7,78;18,6;0,8;1,51;;
autres produits à base de viande;-;Boulettes au boeuf et à l'agneau (type kefta), préemballées, crues;1030;247;15,7;9,46;15,7;1,2;1,03;;
autres produits à base de viande;-;Brochette de volaille;811;195;18,6;0,8;13;0;0,29;;
autres produits à base de viande;-;Brochette de boeuf;793;191;17,1;1,02;12,9;0;0,13;;
autres produits à base de viande;-;Brochette mixte de viande;866;208;19,7;1,02;13,8;1,01;0,61;;
autres produits à base de viande;-;Volaille, croquette panée ou nuggets;1000;239;13,1;16,2;13,2;1,07;1,2;;
autres produits à base de viande;-;Brochette d'agneau;467;112;12,6;2,54;5,1;1,57;0,48;;
autres produits à base de viande;-;Brochette de porc, crue;549;131;15,6;2,1;6,5;1,1;0,81;;
autres produits à base de viande;-;Poulet, croquette panée ou nuggets;1050;250;15,6;19,4;11,6;1,3;1,37;;
autres produits à base de viande;-;Poulet, manchons marinés, rôtis/cuits au four;890;213;22,4;2,1;12,6;0,6;1,69;;
autres produits à base de viande;-;Poulet, escalope panée;1410;339;7,25;21,7;24;1,9;1,26;;
autres produits à base de viande;-;Dinde, escalope viennoise ou milanaise ou escalope panée;882;211;14,1;13,5;10,9;1,07;1,03;;
poissons cuits;-;Saumon, cuit, sans précision (aliment moyen);854;205;23;0;12,5;0;0,13;;
poissons cuits;-;Cabillaud, cuit, sans précision (aliment moyen);420;98,9;23,1;0;0,73;0;0,2;;
poissons cuits;-;Hareng fumé, filet, doux;676;162;18,1;0;9,9;0;3,78;;
poissons cuits;-;Carrelet ou plie, cuit à la vapeur;393;93;19;traces;1,89;0;-;;
poissons cuits;-;Églefin, cuit à la vapeur;377;89;20,9;traces;0,6;0;0,18;;
poissons cuits;-;Hareng, frit;840;201;23;traces;12,1;0;-;;
poissons cuits;-;Hareng fumé, au naturel;721;173;16,5;0,5;11,7;0;3,98;;
poissons cuits;-;Hareng, grillé/poêlé;788;189;21,6;traces;11,4;0;0,34;;
poissons cuits;-;Lieu noir, cuit;423;99,7;23,1;traces;0,81;0;0,25;;
poissons cuits;-;Limande-sole, cuite à la vapeur;380;90,1;17,4;traces;2,27;0;0,3;;
poissons cuits;-;Maquereau, rôti/cuit au four;949;228;21,5;traces;15,8;0;0,21;;
poissons cuits;-;Maquereau, frit;777;186;23,6;traces;10,2;0;0,21;;
poissons cuits;-;Merlan, frit;526;125;23,1;traces;3,61;0;0,43;;
poissons cuits;-;Merlan, cuit à la vapeur;417;98,3;23;traces;0,7;0;0,28;;
poissons cuits;-;Cabillaud, rôti/cuit au four;401;94,6;22,3;traces;0,6;0;0,23;;
poissons cuits;-;Morue, salée, bouillie/cuite à l'eau;480;113;26;traces;1,01;0;5,8;;
poissons cuits;-;Cabillaud, cuit à la vapeur;451;106;24,5;traces;0,95;0;0,16;;
poissons cuits;-;Mulet, rôti/cuit au four;602;143;24,8;traces;4,86;0;0,18;;
poissons cuits;-;Raie, rôtie/cuite au four;409;96,3;23;traces;0,5;0;0,38;;
poissons cuits;-;Roussette ou petite roussette ou saumonette, cuite;1070;256;25,4;traces;17,2;0;0,2;;
poissons cuits;-;Saumon fumé;743;178;22;0,91;9,49;0;3,51;;
poissons cuits;-;Saumon, cuit à la vapeur;816;195;23;traces;11,5;0;0,13;;
poissons cuits;-;Thon, rôti/cuit au four;576;136;29,9;traces;1,83;0;0,14;;
poissons cuits;-;Sole, cuite à la vapeur;400;94,6;20,3;traces;1,48;0;0,41;;
poissons cuits;-;Sole, rôtie/cuite au four;330;78,2;15,7;traces;1,69;0;0,29;;
poissons cuits;-;Sole, bouillie/cuite à l'eau;292;69;15;traces;1;0;0,21;;
poissons cuits;-;Sole, frite;306;72,2;15,8;traces;1;0;0,36;;
poissons cuits;-;Raie, cuite au court-bouillon;415;97,8;23,2;traces;0,57;0;0,4;;
poissons cuits;-;Lotte ou baudroie, grillée/poêlée;417;98,2;23;traces;0,68;0;0,061;;
poissons cuits;-;Maquereau, fumé;1220;294;18,8;0;24,3;0;0,96;;
poissons cuits;-;Haddock (fumé) ou églefin fumé;411;97;22,6;0;0,73;0;1,91;;
poissons cuits;-;Espadon, rôti/cuit au four;1110;266;28,7;traces;16,9;0;0,18;;
poissons cuits;-;Turbot, rôti/cuit au four;497;118;21,3;traces;3,64;0;0,25;;
poissons cuits;-;Merlu, cuit à l'étouffée;472;112;21,2;traces;3;0;0,25;;
poissons cuits;-;Églefin, grillé/poêlé;360;84,9;20;traces;0,55;0;0,65;;
poissons cuits;-;Sardine, grillée;812;194;25,1;traces;10,4;0;0,35;;
poissons cuits;-;Vivaneau, cuit;511;121;26,3;traces;1,72;0;0,14;;
poissons cuits;-;Rascasse, cuite à la vapeur;533;126;24,6;traces;3,1;0;0,22;;
poissons cuits;-;Lieu ou colin d'Alaska, fumé;344;81,3;18,3;0;0,9;0;-;;
poissons cuits;-;Lieu jaune ou colin, cuit;425;100;24,4;traces;< 0,5;0;0,23;;
poissons cuits;-;Saumon, cuit au micro-ondes, élevage;834;200;24,2;traces;11,4;0;0,098;;
poissons cuits;-;Saumon, bouilli/cuit à l'eau, élevage;805;193;25;traces;10,3;0;0,084;;
poissons cuits;-;Dorade grise, ou daurade grise, ou griset, rôtie/cuite au four;512;121;22,9;traces;3,3;0;-;;
poissons cuits;-;Saumon, grillé/poêlé;933;223;25,5;traces;13,5;0;0,11;;
poissons cuits;-;Saumon, élevage, rôti/cuit au four;874;210;22,1;traces;13,5;0;0,15;;
poissons cuits;-;Hareng fumé, à l'huile;699;168;15,1;2;11;0;4,08;;
poissons cuits;-;Julienne ou Lingue, cuite;447;105;24,5;traces;0,82;0;0,21;;
poissons cuits;-;Flétan du Groënland ou flétan noir ou flétan commun, cuit à la vapeur;722;173;17,3;traces;11,6;0;0,36;;
poissons cuits;-;Sole, poêlée;410;96,7;23,6;traces;< 0,5;0;0,37;;
poissons cuits;-;Anguille, cuite (aliment moyen);888;213;22,1;0;13,8;0;;;
poissons cuits;-;Anguille, rôtie/cuite au four;955;229;23,6;traces;15;0;0,16;;
poissons cuits;-;Anguille, bouillie/cuite à l'eau;820;197;20,5;traces;12,7;0;-;;
poissons cuits;-;Brochet, rôti/cuit au four;425;100;23,1;traces;0,88;0;0,12;;
poissons cuits;-;Carpe, rôtie/cuite au four;633;151;21,6;traces;7,17;0;0,16;;
poissons cuits;-;Perche, rôtie/cuite au four;503;119;22,1;traces;3,42;0;0,096;;
poissons cuits;-;Truite, rôtie/cuite au four;766;183;26,6;traces;8,47;0;0,17;;
poissons cuits;-;Truite, cuite à la vapeur;419;99,4;19;traces;2,6;0;-;;
poissons cuits;-;Truite arc en ciel, élevage, rôtie/cuite au four;600;143;21,5;traces;6,33;0;0,13;;
poissons cuits;-;Truite arc en ciel, élevage, cuite à la vapeur;493;117;20;traces;4,14;0;-;;
poissons cuits;-;Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit;335;79;17,5;traces;1;0;0,58;;
poissons cuits;-;Truite d'élevage, fumée;753;180;23,4;0,69;9,27;0;3,18;;
poissons cuits;-;Bar commun ou loup, rôti/cuit au four;617;147;22,2;traces;6,51;0;0,17;;
poissons cuits;-;Dorade (Daurade) royale, cuite au four;620;148;23,6;traces;5,9;0;0,18;;
poissons crus;-;Bar rayé ou bar d'Amérique, cru;477;113;20,3;traces;3,58;0;0,19;;
poissons crus;-;Lieu ou colin d'Alaska, cru;300;70,8;16,3;traces;0,61;0;0,48;;
poissons crus;-;Flétan de l'Atlantique ou flétan blanc, cru;409;96,5;21,2;traces;1,31;0;0,15;;
poissons crus;-;Hareng, cru;734;176;17,7;traces;11,7;0;0,22;;
poissons crus;-;Lotte ou baudroie, crue;285;67,2;15,1;traces;0,74;0;0,19;;
poissons crus;-;Saumon, cru, élevage;807;194;20,5;traces;12,4;0;0,16;;
poissons crus;-;Turbot sauvage, cru;386;91,5;17,2;traces;2,54;0;0,24;;
poissons crus;-;Cabillaud, cru;329;77,6;18,1;traces;0,57;0;0,23;;
poissons crus;-;Merlu, cru;349;82,6;17,6;traces;1,35;0;0,22;;
poissons crus;-;Lieu noir, surgelé, cru;350;82,4;19,8;traces;0,37;0;0,2;;
poissons crus;-;Merlu, filet, surgelé, cru;346;82;15,1;traces;2,4;0;0,53;;
poissons crus;-;Maquereau, cru;808;194;18,1;traces;13,5;0;0,16;;
poissons crus;-;Raie, crue;382;89,9;21,4;traces;0,47;0;0,35;;
poissons crus;-;Thon, cru;607;144;24;traces;5,38;0;0,12;;
poissons crus;-;Carrelet ou plie, cru;375;88,6;20;traces;0,94;0;0,2;;
poissons crus;-;Limande, crue;342;80,8;18,3;traces;0,85;0;0,28;;
poissons crus;-;Sole, crue;328;77,3;18;traces;0,6;0;0,19;;
poissons crus;-;Rascasse, crue;371;87,6;18,9;traces;1,33;0;-;;
poissons crus;-;Thon albacore ou thon jaune, cru;459;108;25;traces;0,94;0;0,11;;
poissons crus;-;Sardine, crue;683;163;19,5;traces;9,48;0;0,22;;
poissons crus;-;Thon listao ou Bonite à ventre rayé, cru;411;97,1;22;traces;1,01;0;0,093;;
poissons crus;-;Thon rouge, cru;649;155;23,3;traces;6,81;0;0,098;;
poissons crus;-;Bar commun ou loup, cru, sans précision;350;82,5;19,1;traces;0,7;0;0,23;;
poissons crus;-;Roussette ou petite roussette ou saumonette, crue;415;97,8;23,3;traces;0,5;0;0,31;;
poissons crus;-;Bar ou loup de l'Atlantique, cru;379;89,9;16,6;traces;2,61;0;0,25;;
poissons crus;-;Thon germon ou thon blanc, cru;514;121;27,2;traces;1,37;0;0,29;;
poissons crus;-;Anchois commun, cru;541;129;18,6;traces;6,07;0;0,18;;
poissons crus;-;Dorade royale, ou daurade ou vraie daurade, crue, sauvage;393;93,2;18,1;traces;2,31;0;0,12;;
poissons crus;-;Espadon, cru;543;130;18,9;traces;5,97;0;0,28;;
poissons crus;-;Éperlan, cru;361;85,4;17,5;traces;1,7;0;0,39;;
poissons crus;-;Cardine franche, crue;395;93,4;19,9;traces;1,53;0;-;;
poissons crus;-;Rouget-barbet de roche, cru;660;158;18,4;traces;9,37;0;0,17;;
poissons crus;-;Dorade royale ou daurade ou vraie daurade, crue, élevage;543;129;20,9;traces;5,1;0;0,13;;
poissons crus;-;Mulet, cru;475;113;20,1;traces;3,62;0;0,18;;
poissons crus;-;Truite de mer, crue;467;111;19,6;traces;3,63;0;0,14;;
poissons crus;-;Merlan, cru;336;79,3;18,8;traces;0,47;0;0,16;;
poissons crus;-;Morue, salée, sèche;871;206;47,6;traces;1,67;0;12,3;;
poissons crus;-;Dorade grise, ou daurade grise, ou griset, crue;547;130;20,5;traces;5,27;0;0,15;;
poissons crus;-;Bogue, crue;380;90;17,9;traces;2,03;0;0,28;;
poissons crus;-;Bonite, crue;675;161;22,3;traces;8,01;0;1,35;;
poissons crus;-;Maquereau espagnol ou maquereau blanc ou billard, cru;567;135;22,1;traces;5,15;0;0,15;;
poissons crus;-;Denté, cru;418;99,3;17;traces;3,5;0;0,19;;
poissons crus;-;Saint-Pierre, cru;368;86,7;19,9;traces;0,8;0;0,17;;
poissons crus;-;Grondin, cru;397;94;19;traces;2;0;-;;
poissons crus;-;Corb, cru;370;87,2;20;traces;0,8;0;-;;
poissons crus;-;Capelan, cru;380;90;18,7;traces;1,71;0;0,27;;
poissons crus;-;Dorade rose, ou daurade rose, crue;431;102;21;traces;2;0;-;;
poissons crus;-;Rouget-barbet de roche, vapeur;602;143;24,1;traces;5,2;0;0,24;;
poissons crus;-;Saupe, crue;399;94,5;18;traces;2,5;0;-;;
poissons crus;-;Chinchard, cru;487;116;19;traces;4,42;0;-;;
poissons crus;-;Églefin, cru;307;72,3;17,3;traces;0,35;0;0,16;;
poissons crus;-;Congre, cru;481;115;18,3;traces;4,6;0;0,13;;
poissons crus;-;Grenadier (de roche), cru;292;68,9;15,4;traces;0,81;0;0,24;;
poissons crus;-;Lieu jaune ou colin, cru;320;75,5;17,7;traces;0,51;0;0,29;;
poissons crus;-;Julienne ou Lingue, crue;343;80,8;19,2;traces;0,44;0;0,26;;
poissons crus;-;Tacaud, cru;346;81,6;19,7;traces;0,33;0;0,2;;
poissons crus;-;Lieu noir, cru;350;82,5;18,8;traces;0,8;0;0,2;;
poissons crus;-;Limande-sole, crue;341;80,6;17;traces;1,4;0;0,24;;
poissons crus;-;Foie de morue, cru;2550;619;5;traces;66,6;0;1,47;;
poissons crus;-;Vivaneau, cru;398;94,1;20,5;traces;1,34;0;0,16;;
poissons crus;-;Sabre, cru;524;125;18;traces;5,9;0;0,28;;
poissons crus;-;Flétan du Groënland ou flétan noir ou flétan commun, cru;700;168;13,5;traces;12,7;0;0,43;;
poissons crus;-;Carangue, cru;438;104;19,9;traces;2,7;0;0,22;;
poissons crus;-;Coulirou, cru;301;70,9;17,5;traces;0,1;0;0,15;;
poissons crus;-;Saumon, cru, sauvage;695;166;21;traces;9,17;0;0,12;;
poissons crus;-;Requin, cru;461;109;20,8;traces;2,91;0;0,2;;
poissons crus;-;Orphie commune, crue;558;133;20;traces;5,91;0;0,21;;
poissons crus;-;Lompe, crue;695;168;10;traces;14,2;0;0,17;;
poissons crus;-;Brème, cru;435;104;16,9;traces;4;0;0,11;;
poissons crus;-;Omble chevalier, cru;436;103;19,8;traces;2,7;0;0,14;;
poissons crus;-;Loup tacheté, cru;454;108;16,3;traces;4,8;0;0,26;;
poissons crus;-;Sprat, cru;777;186;19,8;traces;11,9;0;-;;
poissons crus;-;Turbot, cru;361;85,5;17,9;traces;1,55;0;0,23;;
poissons crus;-;Corégone lavaret, cru;486;115;20,5;traces;3,72;0;0,13;;
poissons crus;-;Mérou, cru;349;82,3;18,6;traces;0,86;0;0,13;;
poissons crus;-;Lingue bleue ou Lingue, crue;338;79,6;18,9;traces;0,44;0;0,23;;
poissons crus;-;Sole tropicale ou Sole langue, crue;289;68,2;15,7;traces;0,58;0;0,35;;
poissons crus;-;Turbot d'élevage, cru;457;109;18,3;traces;3,94;0;0,19;;
poissons crus;-;Bar commun ou loup (Méditerranée), cru, sauvage;414;97,9;20,1;traces;1,94;0;0,18;;
poissons crus;-;Bar commun ou loup (Méditerranée), cru, élevage;521;124;21,4;traces;4,25;0;0,12;;
poissons crus;-;Baudroie rousse ou Lotte, crue;298;70,2;16,7;traces;0,37;0;0,32;;
poissons crus;-;Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue;378;89,5;18,8;traces;1,6;0;0,18;;
poissons crus;-;Hoki, tout lieu de pêche, cru;389;92,3;17,8;traces;2,36;0;0,18;;
poissons crus;-;Grenadier bleu ou hoki de Nouvelle-Zélande, cru;319;75,5;15,6;traces;1,46;0;0,14;;
poissons crus;-;Grondin perlon, cru;412;97,4;20,3;traces;1,79;0;0,14;;
poissons crus;-;Merlu blanc du Cap, surgelé, cru;330;78;16,1;traces;1,52;0;0,28;;
poissons crus;-;Chinchard maigre, cru;408;96,7;18,7;traces;2,42;0;0,16;;
poissons crus;-;Chinchard gras, cru;616;147;19,6;traces;7,66;0;0,14;;
poissons crus;-;Hareng maigre, cru;466;111;18,3;traces;4,22;0;0,19;;
poissons crus;-;Hareng gras, cru;719;172;18,7;traces;10,8;0;0,13;;
poissons crus;-;Joëls (petits poissons entiers) pour friture, crus;375;88,9;17,5;traces;2,1;0;0,27;;
poissons crus;-;Empereur, filet, sans peau, cru;311;73,5;15;traces;1,5;0;0,21;;
poissons crus;-;Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…);407;96,7;16,3;traces;3,5;0;0,2;;
poissons crus;-;Carpe, crue, élevage;477;114;17,7;traces;4,76;0;0,077;;
poissons crus;-;Truite d'élevage, crue;558;133;19,3;traces;6,22;0;0,1;;
poissons crus;-;Truite arc en ciel, crue, élevage;553;132;19;traces;6,24;0;0,11;;
poissons crus;-;Perche, crue;348;82,2;17,9;traces;1,19;0;0,14;;
poissons crus;-;Brochet, cru;355;83,7;18,8;traces;0,94;0;0,13;;
poissons crus;-;Esturgeon, cru;517;123;17,7;traces;5,84;0;0,12;;
poissons crus;-;Anguille, crue;963;232;16,1;traces;18,6;0;0,16;;
poissons crus;-;Pangasius ou Poisson-chat, cru;276;65,2;13,5;traces;1,27;0;0,68;;
poissons crus;-;Tilapia, cru;387;91,6;18,1;traces;2,13;0;0,071;;
poissons crus;-;Truite saumonée, crue;600;143;19,2;traces;7,4;0;0,2;;
poissons crus;-;Lotte de rivière, crue;326;77;17,8;traces;0,66;0;0,22;;
poissons crus;-;Sandre, cru;351;82,9;18,3;traces;1,08;0;0,12;;
poissons crus;-;Perche du Nil, crue;349;82,4;19,1;traces;0,68;0;0,14;;
mollusques et crustacés cuits;-;Bigorneau, cuit;-;-;16,3;-;3,5;-;0,48;;
mollusques et crustacés cuits;-;Coquille Saint-Jacques, noix et corail, cuite;463;110;20,2;3,22;1,77;0,3;0,46;;
mollusques et crustacés cuits;-;Crevette grise, cuite;381;89,9;18,3;1,47;1,2;-;1,15;;
mollusques et crustacés cuits;-;Crevette, cuite;397;93,8;19;1,87;1,16;< 0,25;1,35;;
mollusques et crustacés cuits;-;Homard, bouilli/cuit à l'eau;385;90,9;19,6;0,11;1,32;0;0,9;;
mollusques et crustacés cuits;-;Moule, bouillie/cuite à l'eau;457;108;17,2;5,12;2,09;-;0,8;;
mollusques et crustacés cuits;-;Bulot ou Buccin, cuit;415;97,7;20,7;2,69;0,47;traces;0,97;;
mollusques et crustacés cuits;-;Langouste, bouillie/cuite à l'eau;449;106;21,8;1,3;1,52;0;0,46;;
mollusques et crustacés cuits;-;Crabe ou Tourteau, bouilli/cuit à l'eau;520;124;19,5;1,79;4,29;0;1,23;;
mollusques et crustacés cuits;-;Clam, Praire ou Palourde, bouilli/cuit à l'eau;420;99,2;16,2;5,33;1,48;0;1,56;;
mollusques et crustacés cuits;-;Écrevisse, cuite;312;73,5;16,3;0,56;0,7;< 0,25;0,21;;
mollusques et crustacés cuits;-;Crevette rose bouquet, cuite;-;-;22,8;-;1,27;-;0,47;;
mollusques et crustacés cuits;-;Calmar ou calamar ou encornet, bouilli/cuit à l'eau;632;149;32,5;1,64;1,4;-;1,86;;
mollusques et crustacés cuits;-;Fruits de mer (aliment moyen);438;104;18,9;3,06;1,76;0,12;1,1;;
mollusques et crustacés cuits;-;Langoustine, bouillie/cuite à l'eau;-;-;20,9;-;0,98;-;0,67;;
mollusques et crustacés cuits;-;Araignée de mer, cuite;-;-;18,3;-;3,8;-;0,96;;
mollusques et crustacés cuits;-;Crevette pattes blanches, cuite;-;-;22,6;-;0,96;-;1,82;;
mollusques et crustacés cuits;-;Crevette géante tigrée, cuite;-;-;23,4;-;0,98;-;1,43;;
mollusques et crustacés cuits;-;Crevette royale rose, cuite;-;-;26,6;-;1,18;-;0,34;;
mollusques et crustacés cuits;-;Poulpe, cuit;659;156;29,8;4,4;2,08;0;1,15;;
mollusques et crustacés cuits;-;Fruits de mer, cuits, surgelés;336;79,5;13,5;2,83;1,57;0;0,99;;
mollusques et crustacés cuits;-;Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse;725;173;17,9;8,45;7,48;-;0,77;;
mollusques et crustacés cuits;-;Escargot, sans matière grasse ajoutée, cuit;338;80;16,6;0,23;1,4;< 0,3;0,27;;
mollusques et crustacés cuits;-;Grenouille, cuisse, grillée/poêlée;-;-;21,9;-;0,9;-;0,22;;
mollusques et crustacés crus;-;Calmar ou calamar ou encornet, cru;326;77;14,4;2,17;1,19;0;0,61;;
mollusques et crustacés crus;-;Coquille Saint-Jacques, noix et corail, crue;351;83;17;0,78;1,31;0,5;0,48;;
mollusques et crustacés crus;-;Escargot, cru;330;77,9;16,1;1,29;0,92;0;0,35;;
mollusques et crustacés crus;-;Homard, cru;362;85,5;17,9;0,94;1,15;0;0,9;;
mollusques et crustacés crus;-;Huître, sans précision, crue;283;67,2;8,64;3,86;1,91;traces;1,45;;
mollusques et crustacés crus;-;Moule commune, crue;303;71,8;11,2;2,69;1,82;0;0,85;;
mollusques et crustacés crus;-;Langouste, crue;368;86,9;17,7;1,07;1,34;0;0,45;;
mollusques et crustacés crus;-;Seiche, crue;323;76,3;16,2;0,51;1,05;0;0,93;;
mollusques et crustacés crus;-;Clam, Praire ou Palourde, cru;339;80,5;11,5;2,66;2,65;0,16;0,82;;
mollusques et crustacés crus;-;Poulpe, cru;255;60,1;12,9;0,97;0,5;0;0,68;;
mollusques et crustacés crus;-;Bulot ou Buccin, cru;555;131;23,8;7,61;0,57;0;0,52;;
mollusques et crustacés crus;-;Crevette, crue;420;99;19,7;3,21;0,84;0;0,45;;
mollusques et crustacés crus;-;Langoustine, crue;381;89,8;19,1;1,53;0,79;0;0,72;;
mollusques et crustacés crus;-;Moule de Méditerranée, crue;290;68,7;10,7;2,77;1,67;-;-;;
mollusques et crustacés crus;-;Écrevisse, crue;290;68,3;14,8;0,81;0,64;0;0,39;;
mollusques et crustacés crus;-;Huître creuse, crue;283;67,2;8,64;3,86;1,91;0;1,41;;
mollusques et crustacés crus;-;Huître plate, crue;226;53,5;10,2;1,16;0,9;0;1,28;;
mollusques et crustacés crus;-;Crevette, surgelée, crue;446;105;23,4;0,74;0,9;-;0,6;;
mollusques et crustacés crus;-;Crabe, cru;438;104;19,5;0,027;2,86;0;0,69;;
mollusques et crustacés crus;-;Ormeau, cru;422;99,6;14,4;8,69;0,83;0;0,47;;
mollusques et crustacés crus;-;Coquille Saint-Jacques, noix, crue;354;83,6;17,9;1,15;0,84;0;0,34;;
mollusques et crustacés crus;-;Pecten d'Amérique ou Peigne du canada, noix, crue;345;81,3;17,3;1,78;0,54;-;-;;
mollusques et crustacés crus;-;Pétoncle ou Peigne du Pérou, noix, crue;376;88,7;17,5;3,1;0,7;0;0,38;;
mollusques et crustacés crus;-;Crevette rose, crue;392;92,3;21,9;0;0,53;-;0,3;;
mollusques et crustacés crus;-;Grenouille, cuisse, crue;297;70;16,2;0,66;0,28;0;0,14;;
produits à base de poissons et produits de la mer;-;Rillettes de crabe, préemballées;798;192;12,2;3,5;13,6;1,6;1,11;;
produits à base de poissons et produits de la mer;-;Rillettes de poisson, préemballées;1010;243;13,9;0,3;20,7;0,3;0,96;;
